variant,policy,run_id,iteration,simulation_seed,timestamp,num_devices,lambda,w_failure,w_service,candidate_count,catalogue_fraction,catalogue_subset_seed,full_catalogue_count,selected_catalogue_count,catalogue_sha256,optimizer_time_ms,previous_alpha,selected_alpha,weighted_predicted_failure_rate,weighted_predicted_dnst,performance_cost,reconfiguration_cost,joint_cost,hard_stability_enabled,r_max,feasible_candidate_count,constraint_active,reconfigured,stability_violation,unconstrained_reconfiguration_cost,unconstrained_performance_cost,app_weight_0,previous_w_load_0,previous_threshold_0,selected_w_load_0,selected_threshold_0,predicted_failure_rate_0,predicted_dnst_0,app_weight_1,previous_w_load_1,previous_threshold_1,selected_w_load_1,selected_threshold_1,predicted_failure_rate_1,predicted_dnst_1,app_weight_2,previous_w_load_2,previous_threshold_2,selected_w_load_2,selected_threshold_2,predicted_failure_rate_2,predicted_dnst_2
SCOPE,RT_OPT_ML,iteration_5,5,20260833,670.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,109.79512500489363,0.6,0.6,0.2792854280660675,0.7853738161550085,0.3025638838144672,0.0,0.24205110705157376,True,0.15,8,True,False,False,0.1634920634920635,0.19443280287828296,0.5064833390419338,0.5,85.0,0.5,85.0,0.2691434919834137,0.7996938824653625,0.36463277389049276,0.7,80.0,0.7,80.0,0.2853274941444397,0.784156084060669,0.1288838870675735,0.4,90.0,0.4,90.0,0.30204689502716064,0.732544481754303
SCOPE,RT_OPT_ML,iteration_5,5,20260833,730.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,72.75983299768995,0.6,0.6,0.2818138094148794,0.7887340388690225,0.3057816252617689,0.0,0.24462530020941511,True,0.15,8,True,False,False,0.1634920634920635,0.20249046582232977,0.5026286051196384,0.5,85.0,0.5,85.0,0.2707199156284332,0.8049328923225403,0.3736058566304722,0.7,80.0,0.7,80.0,0.2879234552383423,0.7786131501197815,0.12376553824988945,0.4,90.0,0.4,90.0,0.3084246814250946,0.7534998059272766
SCOPE,RT_OPT_ML,iteration_5,5,20260833,790.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,66.4215829965542,0.6,0.6,0.27868268019012254,0.7901457663130356,0.30428227095251315,0.0,0.24342581676201053,True,0.15,8,True,False,False,0.1634920634920635,0.20037197685704233,0.5088265330934202,0.5,85.0,0.5,85.0,0.2694758176803589,0.8135024905204773,0.3623498516753392,0.7,80.0,0.7,80.0,0.2832410931587219,0.7744214534759521,0.12882361523124058,0.4,90.0,0.4,90.0,0.30222615599632263,0.7421202659606934
SCOPE,RT_OPT_ML,iteration_5,5,20260833,850.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,71.14366700261598,0.6,0.6,0.2779788074472065,0.7897858737458829,0.30364317700168564,0.0,0.2429145416013485,True,0.15,8,True,False,False,0.1634920634920635,0.1975264163609947,0.5055767537422953,0.5,85.0,0.5,85.0,0.2673186659812927,0.8174809217453003,0.36473926230310144,0.7,80.0,0.7,80.0,0.28330984711647034,0.7693941593170166,0.12968398395460326,0.4,90.0,0.4,90.0,0.30454400181770325,0.739168107509613
SCOPE,RT_OPT_ML,iteration_5,5,20260833,910.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,92.96808300132398,0.6,0.6,0.2799204975570918,0.7857834557361397,0.3031783824577058,0.0,0.24254270596616465,True,0.15,8,True,False,False,0.1634920634920635,0.19880612854889892,0.49951028403525954,0.5,85.0,0.5,85.0,0.2673213481903076,0.8028681874275208,0.3743388834476004,0.7,80.0,0.7,80.0,0.2876957654953003,0.775978147983551,0.12615083251714007,0.4,90.0,0.4,90.0,0.30673617124557495,0.7472304701805115
SCOPE,RT_OPT_ML,iteration_5,5,20260833,970.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,73.3070830028737,0.6,0.6,0.2701311201266611,0.7876994526952203,0.29737675145789766,0.0,0.23790140116631814,True,0.15,8,True,False,False,0.1634920634920635,0.19306295603570733,0.5098518554735246,0.5,85.0,0.5,85.0,0.26097026467323303,0.8119795322418213,0.3596049479293991,0.7,80.0,0.7,80.0,0.2741001844406128,0.7746514081954956,0.13054319659707622,0.4,90.0,0.4,90.0,0.2949764132499695,0.7288139462471008
SCOPE,RT_OPT_ML,iteration_5,5,20260833,1030.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,71.15316699491814,0.6,0.6,0.2818241972309059,0.7924321668529478,0.307437996405715,0.0,0.245950397124572,True,0.15,8,True,False,False,0.1634920634920635,0.20470188783436505,0.5073655361425146,0.5,85.0,0.5,85.0,0.27148759365081787,0.8145835399627686,0.3681299858072726,0.7,80.0,0.7,80.0,0.28775373101234436,0.7755884528160095,0.12450447805021289,0.4,90.0,0.4,90.0,0.3064144551753998,0.7519664168357849
SCOPE,RT_OPT_ML,iteration_5,5,20260833,1090.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,71.78391599882161,0.6,0.6,0.2860477335140545,0.7865744309881476,0.3076972647756815,0.0,0.2461578118205452,True,0.15,8,True,False,False,0.1634920634920635,0.2023276825803739,0.5050693049909389,0.5,85.0,0.5,85.0,0.2768893837928772,0.8007692694664001,0.3689572415144243,0.7,80.0,0.7,80.0,0.2904330790042877,0.7782953977584839,0.12597345349463682,0.4,90.0,0.4,90.0,0.30992257595062256,0.7539106607437134
SCOPE,RT_OPT_ML,iteration_5,5,20260833,1150.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,131.5806659986265,0.6,0.6,0.28057091860863587,0.8032661017879671,0.311417617022642,0.0,0.2491340936181136,True,0.15,8,True,False,False,0.1634920634920635,0.20701043606671207,0.5081726534207693,0.5,85.0,0.5,85.0,0.2702575623989105,0.8194510340690613,0.36326710384653027,0.7,80.0,0.7,80.0,0.28658327460289,0.796134352684021,0.1285602427327004,0.4,90.0,0.4,90.0,0.3043486773967743,0.7594422101974487
SCOPE,RT_OPT_ML,iteration_5,5,20260833,1210.0,1800,0.2,0.5,0.5,635,0.25,2,2536,634,87c2a7edac687f8a33319cc9ec2d7067b176682a18e106ac84d349ee4e584c07,108.50858299818356,0.6,0.6,0.2839801437232356,0.7934202300043469,0.3093445598990576,0.0,0.24747564791924612,True,0.15,8,True,False,False,0.1634920634920635,0.20316574362429954,0.5035074045206547,0.5,85.0,0.5,85.0,0.27543264627456665,0.8179947733879089,0.36530592361652375,0.7,80.0,0.7,80.0,0.28944817185401917,0.7757947444915771,0.1311866718628215,0.4,90.0,0.4,90.0,0.3015598654747009,0.7481811046600342
