app_id,target,feature,gain,normalized_gain
0,failure_rate,candidate_w_load_0,0.00208763568662107,0.000584499556802735
0,failure_rate,candidate_w_load_2,0.001604350982233882,0.0004491887373268245
0,failure_rate,previous_threshold_1,0.0014100782573223114,0.00039479595110584255
0,failure_rate,state_gsm_failure_rate,0.0013962897937744856,0.0003909354351717912
0,failure_rate,previous_w_load_2,0.0013311721850186586,0.00037270370360015936
0,failure_rate,previous_w_load_0,0.001135279075242579,0.00031785723945001326
0,failure_rate,state_mean_service_time_0,0.0011219563893973827,0.00031412713269726706
0,failure_rate,candidate_threshold_0,0.0009335477370768785,0.0002613761788383698
0,failure_rate,candidate_threshold_2,0.0008847633143886924,0.0002477174386554627
0,failure_rate,state_avg_edge_cpu,0.0008249242091551423,0.0002309635908875639
0,failure_rate,state_rsu_failure_rate,0.000806355441454798,0.00022576467780096546
0,failure_rate,candidate_w_load_1,0.0007851580739952624,0.00021982980517693172
0,failure_rate,state_edge_failure_rate,0.0007563759572803974,0.00021177134240418994
0,failure_rate,previous_threshold_0,0.0007039558840915561,0.00019709468701704425
0,failure_rate,previous_w_load_1,0.0005578119307756424,0.00015617707074425054
0,failure_rate,previous_threshold_2,0.00050754239782691,0.00014210252703074876
0,deadline_norm_service_time,state_failed_1,1.381875991821289,0.3322015903852461
0,deadline_norm_service_time,state_failed_0,0.7255097031593323,0.174411798638895
0,deadline_norm_service_time,state_mean_service_time_0,0.36591899394989014,0.08796655594407586
0,deadline_norm_service_time,candidate_alpha,0.21520990133285522,0.051736242551836904
0,deadline_norm_service_time,state_failed_2,0.18296822905540466,0.043985377155346145
0,deadline_norm_service_time,state_deadline_norm_service_time_0,0.16682112216949463,0.040103628996055754
0,deadline_norm_service_time,state_failure_rate_2,0.10128559172153473,0.024348953778882916
0,deadline_norm_service_time,state_total_0,0.08928892016410828,0.021464966073550588
0,deadline_norm_service_time,state_lag_total_1,0.08680058270692825,0.02086677226630389
0,deadline_norm_service_time,state_sent_rsu,0.07188531756401062,0.017281157615770436
0,deadline_norm_service_time,state_lag_total_2,0.06850806623697281,0.01646926981352708
0,deadline_norm_service_time,state_lag_total_0,0.06827148795127869,0.01641239663299326
0,deadline_norm_service_time,state_completed_0,0.05846463516354561,0.0140548391444482
0,deadline_norm_service_time,state_mean_service_time_2,0.05413072183728218,0.01301297076544917
0,deadline_norm_service_time,candidate_w_load_0,0.05136539787054062,0.012348189681532062
0,deadline_norm_service_time,state_total_1,0.050085656344890594,0.012040541113484605
0,deadline_norm_service_time,state_fail_rsu,0.0497874990105629,0.011968864391959006
0,deadline_norm_service_time,state_total_2,0.04258624091744423,0.010237689231910327
0,deadline_norm_service_time,state_deadline_miss_rate_1,0.034256692975759506,0.008235274333761007
0,deadline_norm_service_time,state_deadline_miss_rate_0,0.02968336082994938,0.0071358499127637766
0,deadline_norm_service_time,state_sent_edge,0.025764720514416695,0.006193812745411315
0,deadline_norm_service_time,num_devices,0.025075441226363182,0.006028110701909426
0,deadline_norm_service_time,state_failure_rate_1,0.022082924842834473,0.005308712790848021
0,deadline_norm_service_time,state_completed_2,0.020995300263166428,0.005047248942249271
0,deadline_norm_service_time,state_gsm_failure_rate,0.01892506331205368,0.004549566073667457
