app_id,target,run_id,num_devices,window_id,candidate_count,prediction_min,prediction_max,prediction_range,prediction_std
1,failure_rate,iteration_5,1800,50,50,0.1445903778076172,0.687136173248291,0.5425457954406738,0.16574060916900635
1,failure_rate,iteration_5,1700,14,50,0.08364776521921158,0.6460970044136047,0.5624492168426514,0.18646059930324554
1,failure_rate,iteration_5,1300,42,50,0.0035114798229187727,0.6186309456825256,0.615119457244873,0.22679366171360016
1,failure_rate,iteration_5,1600,53,50,0.08216048777103424,0.652982771396637,0.5708222985267639,0.19920893013477325
1,failure_rate,iteration_5,1300,55,50,0.0,0.6197941303253174,0.6197941303253174,0.22337552905082703
1,failure_rate,iteration_5,1800,4,50,0.17131103575229645,0.6980935335159302,0.5267825126647949,0.15859255194664001
1,failure_rate,iteration_5,1700,24,50,0.14381898939609528,0.6900490522384644,0.5462300777435303,0.16516289114952087
1,failure_rate,iteration_5,1300,45,50,0.0,0.622530460357666,0.622530460357666,0.22425085306167603
1,failure_rate,iteration_5,1600,31,50,0.10324378311634064,0.6720343828201294,0.56879061460495,0.1853710114955902
1,failure_rate,iteration_5,1400,29,50,0.0023428648710250854,0.6259236931800842,0.623580813407898,0.2283184975385666
1,failure_rate,iteration_5,1500,52,50,0.030181339010596275,0.6648286581039429,0.6346473097801208,0.21842992305755615
1,failure_rate,iteration_5,1500,37,50,0.026582708582282066,0.6417437195777893,0.6151610016822815,0.22165638208389282
1,failure_rate,iteration_5,1800,37,50,0.13905666768550873,0.6900151968002319,0.550958514213562,0.16477015614509583
1,failure_rate,iteration_5,1500,53,50,0.025227027013897896,0.6699784398078918,0.6447514295578003,0.2257193773984909
1,failure_rate,iteration_5,1800,6,50,0.18045619130134583,0.6994354724884033,0.5189793109893799,0.15637437999248505
1,failure_rate,iteration_5,1500,38,50,0.03042115829885006,0.6569333672523499,0.6265122294425964,0.22811442613601685
1,failure_rate,iteration_5,1700,51,50,0.1269064098596573,0.6936507225036621,0.566744327545166,0.17261946201324463
1,failure_rate,iteration_5,1700,54,50,0.10568438470363617,0.6858178377151489,0.5801334381103516,0.1746947467327118
1,failure_rate,iteration_5,1500,40,50,0.023379845544695854,0.667954683303833,0.6445748209953308,0.21963994204998016
1,failure_rate,iteration_5,1700,41,50,0.14609360694885254,0.6833155751228333,0.5372219681739807,0.16340674459934235
1,failure_rate,iteration_5,1400,4,50,0.008671924471855164,0.6345564126968384,0.625884473323822,0.22491306066513062
1,failure_rate,iteration_5,1700,3,50,0.1322874128818512,0.7025383710861206,0.5702509880065918,0.17226752638816833
1,failure_rate,iteration_5,1500,18,50,0.03063771314918995,0.6734319925308228,0.6427942514419556,0.2219543159008026
1,failure_rate,iteration_5,1500,4,50,0.015038258396089077,0.6689272522926331,0.653889000415802,0.22870594263076782
1,deadline_norm_service_time,iteration_5,1800,55,50,0.6547518968582153,1.3436270952224731,0.6888751983642578,0.1678776741027832
1,deadline_norm_service_time,iteration_5,1600,44,50,0.6708675622940063,1.347716212272644,0.6768486499786377,0.1733742356300354
1,deadline_norm_service_time,iteration_5,1600,30,50,0.6398546099662781,1.3806082010269165,0.7407535910606384,0.1787569671869278
1,deadline_norm_service_time,iteration_5,1800,17,50,0.6795207262039185,1.422451376914978,0.7429306507110596,0.17041464149951935
1,deadline_norm_service_time,iteration_5,1300,54,50,0.5961580276489258,1.310481071472168,0.7143230438232422,0.193059504032135
1,deadline_norm_service_time,iteration_5,1300,22,50,0.6012389659881592,1.3355780839920044,0.7343391180038452,0.20289377868175507
1,deadline_norm_service_time,iteration_5,1800,50,50,0.6840953826904297,1.3415322303771973,0.6574368476867676,0.1637035757303238
1,deadline_norm_service_time,iteration_5,1700,14,50,0.6658315062522888,1.3447966575622559,0.678965151309967,0.1725756973028183
1,deadline_norm_service_time,iteration_5,1300,42,50,0.594791829586029,1.3246407508850098,0.7298489212989807,0.2030351310968399
1,deadline_norm_service_time,iteration_5,1600,53,50,0.6380531191825867,1.3469051122665405,0.7088519930839539,0.17923206090927124
1,deadline_norm_service_time,iteration_5,1300,55,50,0.5892161726951599,1.306023359298706,0.7168071866035461,0.19418446719646454
1,deadline_norm_service_time,iteration_5,1800,4,50,0.6857315301895142,1.3364386558532715,0.6507071256637573,0.16360606253147125
