iteration,vehicles,app,baseline,metric,scope_value,baseline_value,baseline_minus_scope
6,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07521481807890718,0.07749405499038922,0.0022792369114820465
7,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.0800261056033813,0.07847220064020885,-0.0015539049631724533
8,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.08271697143453714,0.08111081664940051,-0.0016061547851366348
9,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.060280035099767273,0.05951699668078288,-0.0007630384189843964
10,200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.08377613155955474,0.08144901679401156,-0.0023271147655431756
1,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.7871014718098465,0.7874132139624411,0.00031174215259466287
2,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.775551107381762,0.7755832580238988,3.215064213679675e-05
3,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.8233116135672649,0.8232943727620569,-1.7240805208040832e-05
4,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.7903751790081585,0.7904265042177903,5.132520963180287e-05
5,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.78473127267008,0.7847395172726249,8.244602544893453e-06
6,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.853268889769644,0.8533200642112013,5.1174441557333417e-05
7,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.8301617187364616,0.8301053247741084,-5.639396235324057e-05
8,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.8878689380446005,0.8882926324035538,0.000423694358953286
9,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.8122450243713165,0.8123954791504387,0.00015045477912223326
10,200,ALL_APPS,RAIDER_TRAX,service_time_s,0.8317308097029641,0.8317734440524812,4.2634349517123304e-05
1,200,ALL_APPS,RANDOM,failure_rate_pct,0.07080860507048012,0.047439715069772875,-0.023368890000707243
2,200,ALL_APPS,RANDOM,failure_rate_pct,0.080087799958473,0.05041705282669138,-0.029670747131781618
3,200,ALL_APPS,RANDOM,failure_rate_pct,0.07313468846130647,0.047493403693931395,-0.025641284767375074
4,200,ALL_APPS,RANDOM,failure_rate_pct,0.09021302403153665,0.0492666843521431,-0.040946339679393554
5,200,ALL_APPS,RANDOM,failure_rate_pct,0.06532829302308511,0.0484421446658593,-0.016886148357225815
6,200,ALL_APPS,RANDOM,failure_rate_pct,0.07521481807890718,0.04406056048071591,-0.031154257598191265
7,200,ALL_APPS,RANDOM,failure_rate_pct,0.0800261056033813,0.045059042883778745,-0.03496706271960256
8,200,ALL_APPS,RANDOM,failure_rate_pct,0.08271697143453714,0.040949383350462484,-0.04176758808407466
9,200,ALL_APPS,RANDOM,failure_rate_pct,0.060280035099767273,0.041199673454440026,-0.019080361645327247
10,200,ALL_APPS,RANDOM,failure_rate_pct,0.08377613155955474,0.04575984612282253,-0.03801628543673221
1,200,ALL_APPS,RANDOM,service_time_s,0.7871014718098465,0.3532806746949923,-0.43382079711485416
2,200,ALL_APPS,RANDOM,service_time_s,0.775551107381762,0.35014529190595634,-0.4254058154758057
3,200,ALL_APPS,RANDOM,service_time_s,0.8233116135672649,0.37138061499303177,-0.45193099857423313
4,200,ALL_APPS,RANDOM,service_time_s,0.7903751790081585,0.3556671242617706,-0.43470805474638785
5,200,ALL_APPS,RANDOM,service_time_s,0.78473127267008,0.35392246823674645,-0.4308088044333336
6,200,ALL_APPS,RANDOM,service_time_s,0.853268889769644,0.384848812181535,-0.468420077588109
7,200,ALL_APPS,RANDOM,service_time_s,0.8301617187364616,0.37315176802780875,-0.45700995070865286
8,200,ALL_APPS,RANDOM,service_time_s,0.8878689380446005,0.397577622136968,-0.49029131590763253
9,200,ALL_APPS,RANDOM,service_time_s,0.8122450243713165,0.36487124003845406,-0.44737378433286246
10,200,ALL_APPS,RANDOM,service_time_s,0.8317308097029641,0.3755544204462373,-0.45617638925672677
1,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.07671817744294979,0.07671817744294979,0.0
2,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.07900885093017168,0.07900885093017168,0.0
3,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.07765272521747678,0.07765272521747678,0.0
4,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.08519519277302791,0.08519519277302791,0.0
5,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.0826294094594148,0.0826294094594148,0.0
6,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.0832890910773517,0.0832890910773517,0.0
7,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.08859631501140935,0.08859631501140935,0.0
8,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.0773256588043712,0.0773256588043712,0.0
9,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.06778595357153383,0.06778595357153383,0.0
10,300,ALL_APPS,EXP3_MC,failure_rate_pct,0.08255451713395638,0.08255451713395638,0.0
1,300,ALL_APPS,EXP3_MC,service_time_s,0.7367766480638271,0.7367766480638271,0.0
2,300,ALL_APPS,EXP3_MC,service_time_s,0.7393805815646092,0.7393805815646092,0.0
3,300,ALL_APPS,EXP3_MC,service_time_s,0.7685061002471786,0.7685061002471786,0.0
4,300,ALL_APPS,EXP3_MC,service_time_s,0.7586906031652969,0.7586906031652969,0.0
5,300,ALL_APPS,EXP3_MC,service_time_s,0.7314429539333391,0.7314429539333391,0.0
6,300,ALL_APPS,EXP3_MC,service_time_s,0.7747966652720812,0.7747966652720812,0.0
7,300,ALL_APPS,EXP3_MC,service_time_s,0.7950716938572011,0.7950716938572011,0.0
8,300,ALL_APPS,EXP3_MC,service_time_s,0.7887825461190345,0.7887825461190345,0.0
9,300,ALL_APPS,EXP3_MC,service_time_s,0.753966267059147,0.753966267059147,0.0
10,300,ALL_APPS,EXP3_MC,service_time_s,0.7980611283823035,0.7980611283823035,0.0
1,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07671817744294979,0.07719321652697236,0.0004750390840225771
2,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07900885093017168,0.0785248953001396,-0.0004839556300320763
3,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.07765272521747678,0.08256786046031582,0.004915135242839042
4,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.08519519277302791,0.08418654124384355,-0.0010086515291843623
5,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.0826294094594148,0.07885094810002266,-0.003778461359392138
6,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.0832890910773517,0.09059603423166283,0.00730694315431113
7,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.08859631501140935,0.09168688413971433,0.003090569128304979
8,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.0773256588043712,0.07834983971568737,0.0010241809113161748
9,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.06778595357153383,0.0741723155516259,0.00638636198009207
10,300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.08255451713395638,0.08359163668271002,0.0010371195487536428
1,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7367766480638271,0.7377802013563216,0.0010035532924944635
2,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7393805815646092,0.7397969201832223,0.00041633861861312127
3,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7685061002471786,0.7694239051621423,0.000917804914963738
4,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7586906031652969,0.7597679574527648,0.0010773542874679132
5,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7314429539333391,0.7325865642252265,0.0011436102918873647
6,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7747966652720812,0.7750881693933319,0.00029150412125067415
7,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7950716938572011,0.7970862703297652,0.002014576472564089
8,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7887825461190345,0.789402104867342,0.0006195587483074361
9,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.753966267059147,0.7552472046801889,0.0012809376210418666
10,300,ALL_APPS,RAIDER_TRAX,service_time_s,0.7980611283823035,0.7987946578161241,0.0007335294338206566
1,300,ALL_APPS,RANDOM,failure_rate_pct,0.07671817744294979,0.040021344717182494,-0.03669683272576729
2,300,ALL_APPS,RANDOM,failure_rate_pct,0.07900885093017168,0.038773215462758324,-0.04023563546741336
3,300,ALL_APPS,RANDOM,failure_rate_pct,0.07765272521747678,0.0402964244294616,-0.037356300788015176
4,300,ALL_APPS,RANDOM,failure_rate_pct,0.08519519277302791,0.03377152304528409,-0.05142366972774382
5,300,ALL_APPS,RANDOM,failure_rate_pct,0.0826294094594148,0.05004367018388688,-0.032585739275527915
6,300,ALL_APPS,RANDOM,failure_rate_pct,0.0832890910773517,0.043831239985779195,-0.03945785109157251
7,300,ALL_APPS,RANDOM,failure_rate_pct,0.08859631501140935,0.05047331609686757,-0.03812299891454179
8,300,ALL_APPS,RANDOM,failure_rate_pct,0.0773256588043712,0.052737215065435106,-0.024588443738936094
9,300,ALL_APPS,RANDOM,failure_rate_pct,0.06778595357153383,0.03929292383557876,-0.02849302973595507
10,300,ALL_APPS,RANDOM,failure_rate_pct,0.08255451713395638,0.04983673278685972,-0.032717784347096664
1,300,ALL_APPS,RANDOM,service_time_s,0.7367766480638271,0.34678668925524414,-0.389989958808583
2,300,ALL_APPS,RANDOM,service_time_s,0.7393805815646092,0.34835088385840823,-0.39102969770620094
3,300,ALL_APPS,RANDOM,service_time_s,0.7685061002471786,0.36488655479193516,-0.4036195454552434
4,300,ALL_APPS,RANDOM,service_time_s,0.7586906031652969,0.35863100492460454,-0.40005959824069237
5,300,ALL_APPS,RANDOM,service_time_s,0.7314429539333391,0.34603621470063856,-0.3854067392327006
6,300,ALL_APPS,RANDOM,service_time_s,0.7747966652720812,0.3706217835794867,-0.4041748816925945
7,300,ALL_APPS,RANDOM,service_time_s,0.7950716938572011,0.37847886657862684,-0.4165928272785743
