iteration,policy,vehicles,app,completed_tasks,failed_tasks,failure_rate_pct,service_time_s,source
4,RANDOM,400,ALL_APPS,254322.0,126.0,0.049518958687040183,0.3721686702597389,ite4/SIMRESULT_ITS_SCENARIO_RANDOM_400DEVICES_ALL_APPS_GENERIC.log
5,RANDOM,400,ALL_APPS,274320.0,139.0,0.050645087244360724,0.35248387290423866,ite5/SIMRESULT_ITS_SCENARIO_RANDOM_400DEVICES_ALL_APPS_GENERIC.log
6,RANDOM,400,ALL_APPS,267362.0,118.0,0.04411544788395394,0.37926692263762507,ite6/SIMRESULT_ITS_SCENARIO_RANDOM_400DEVICES_ALL_APPS_GENERIC.log
7,RANDOM,400,ALL_APPS,265274.0,124.0,0.04672228125306144,0.3669509733626392,ite7/SIMRESULT_ITS_SCENARIO_RANDOM_400DEVICES_ALL_APPS_GENERIC.log
8,RANDOM,400,ALL_APPS,261255.0,147.0,0.05623522390800376,0.3757888272612577,ite8/SIMRESULT_ITS_SCENARIO_RANDOM_400DEVICES_ALL_APPS_GENERIC.log
9,RANDOM,400,ALL_APPS,266351.0,133.0,0.04990918779363864,0.36054759067175235,ite9/SIMRESULT_ITS_SCENARIO_RANDOM_400DEVICES_ALL_APPS_GENERIC.log
10,RANDOM,400,ALL_APPS,252676.0,147.0,0.05814344422777991,0.3842198302105559,ite10/SIMRESULT_ITS_SCENARIO_RANDOM_400DEVICES_ALL_APPS_GENERIC.log
1,RT_OPT_ML,500,ALL_APPS,344591.0,416.0,0.12057726364972304,0.6256461783886722,ite1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
2,RT_OPT_ML,500,ALL_APPS,337037.0,431.0,0.12771581305486743,0.6382908249157371,ite2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
3,RT_OPT_ML,500,ALL_APPS,330269.0,452.0,0.13667109134285393,0.6623345540518965,ite3/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
