vehicles,app,baseline,metric,n_pairs,n_nonzero,scope_mean,scope_sd,baseline_mean,baseline_sd,mean_improvement,ci95_low,ci95_high,rank_biserial,wilcoxon_W,p_raw,p_holm,significant_holm_005
300,ALL_APPS,EXP3_MC,service_time_s,10,0,0.7645475187664019,0.024516918795924957,0.7645475187664019,0.024516918795924957,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.08007558914216634,0.0057608299962846705,0.08197201719526945,0.0057256808983011396,0.0018964280531031039,-0.00013573737819990808,0.003967563434087783,0.5636363636363636,12.0,0.130859375,1.0,False
300,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.7645475187664019,0.024516918795924957,0.7654973955466431,0.024574542411879254,0.0009498767802411323,0.0006781341826549028,0.0012527358277225741,1.0,0.0,0.001953125,0.2109375,False
300,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.08007558914216634,0.0057608299962846705,0.04390776056090938,0.006432757309301492,-0.036167828581256965,-0.04064391164761217,-0.0320047428666616,-1.0,0.0,0.001953125,0.2109375,False
300,ALL_APPS,RANDOM,service_time_s,10,10,0.7645475187664019,0.024516918795924957,0.36222277224761623,0.01306341314011397,-0.4023247465187856,-0.4091702819425743,-0.3956115848455464,-1.0,0.0,0.001953125,0.2109375,False
400,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.09959508174799717,0.010784918454251332,0.09959508174799717,0.010784918454251332,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
400,ALL_APPS,EXP3_MC,service_time_s,10,0,0.7022405641370048,0.018482888547398383,0.7022405641370048,0.018482888547398383,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.09959508174799717,0.010784918454251332,0.11118649211629306,0.01139616768560484,0.011591410368295888,0.008143967763908383,0.015592658444027564,1.0,0.0,0.001953125,0.2109375,False
400,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.7022405641370048,0.018482888547398383,0.7036216662217878,0.01822218816375446,0.0013811020847830369,0.0007874351106245309,0.001960545178947717,0.8909090909090909,3.0,0.009765625,0.33203125,False
400,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.09959508174799717,0.010784918454251332,0.048710542979077,0.005224540645976384,-0.05088453876892017,-0.05534459804594359,-0.0465241624062497,-1.0,0.0,0.001953125,0.2109375,False
400,ALL_APPS,RANDOM,service_time_s,10,10,0.7022405641370048,0.018482888547398383,0.3670860215119128,0.011481275236526933,-0.335154542625092,-0.3394432100462107,-0.3309984468529016,-1.0,0.0,0.001953125,0.2109375,False
500,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.13483660295731728,0.009681998111956285,0.13483660295731728,0.009681998111956285,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
500,ALL_APPS,EXP3_MC,service_time_s,10,0,0.6488724285784088,0.015373195239007818,0.6488724285784088,0.015373195239007818,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
500,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.13483660295731728,0.009681998111956285,0.14623758254661687,0.014079180491215176,0.011400979589299615,0.007157013046125065,0.015895635254882464,0.9636363636363636,1.0,0.00390625,0.2109375,False
500,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.6488724285784088,0.015373195239007818,0.6497455965875671,0.014956618320134767,0.0008731680091584205,0.0004390616349761345,0.0012708180859972477,0.7818181818181819,6.0,0.02734375,0.875,False
500,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.13483660295731728,0.009681998111956285,0.04673566514090656,0.003771352795607954,-0.08810093781641072,-0.09310995289684086,-0.08322045404095169,-1.0,0.0,0.001953125,0.2109375,False
500,ALL_APPS,RANDOM,service_time_s,10,10,0.6488724285784088,0.015373195239007818,0.3681272663431684,0.010326748742888548,-0.28074516223524043,-0.2837939546489447,-0.27774468193994506,-1.0,0.0,0.001953125,0.2109375,False
600,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.178447295657507,0.013756332415641493,0.178447295657507,0.013756332415641493,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
600,ALL_APPS,EXP3_MC,service_time_s,10,0,0.6131621342445219,0.012357540126602295,0.6131621342445219,0.012357540126602295,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
600,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.178447295657507,0.013756332415641493,0.19702930598739765,0.014919634860495119,0.018582010329890646,0.013298980094937905,0.024358386093022554,1.0,0.0,0.001953125,0.2109375,False
600,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.6131621342445219,0.012357540126602295,0.6131374405485319,0.012120320292532353,-2.4693695990063436e-05,-0.0004968718808575104,0.0003688908872758696,0.09090909090909091,25.0,0.845703125,1.0,False
600,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.178447295657507,0.013756332415641493,0.04979579435303792,0.005842439503019771,-0.1286515013044691,-0.13920129416491853,-0.1187877988432322,-1.0,0.0,0.001953125,0.2109375,False
600,ALL_APPS,RANDOM,service_time_s,10,10,0.6131621342445219,0.012357540126602295,0.37129875101872484,0.009409477529062914,-0.24186338322579712,-0.24383189370634958,-0.24012585280266255,-1.0,0.0,0.001953125,0.2109375,False
700,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.2336916018820136,0.016153595698524335,0.2336916018820136,0.016153595698524335,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
700,ALL_APPS,EXP3_MC,service_time_s,10,0,0.5881561057831061,0.008975129804118541,0.5881561057831061,0.008975129804118541,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
700,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.2336916018820136,0.016153595698524335,0.2602789263005422,0.015480530123485327,0.026587324418528624,0.021020726618860758,0.03252951822188152,1.0,0.0,0.001953125,0.2109375,False
